;Hikaru no Go;serie;75 + 3 especiales;4 DVD;japones;ingles;HQ;MPEG-4;Todo Publico;Real Fansubbers;Yumi Hotta;8;hikarunogo.jpg
;Fullmetal Panic! The Second Raid;serie;13;1/2 DVD;japones;espanol;HQ;MPEG-4;Shonen;SD;Shouji Gatou;9;fmp2rage.jpg
;Tsubasa Chronicles;serie;26;1 DVD;japones;espanol;HQ;MPEG-4;Shojo;;CLAMP;9;tsubasachronicles.jpg;si
;Buzzer Beater;serie;13;1/2 DVD;japones;espanol;HQ;MPEG-4;Shonen;Anime Underground;;7;buzzer.jpg;
;Genshiken (The Society for the Study of Modern Visual Culture);serie;12;1/2 DVD;japones;espanol;HQ;MPEG-4;Todo Publico;Anime Underground;Kio Shimoku;7;genshiken.jpg;
;Zone of Enders (ZOE) - Dolores, i;serie;26;1 DVD;japones;espanol;HQ;MPEG-5;Mecha;;Hideo Kojima;;zoe_dolores.jpg;
;Beck;serie;26;1 DVD;japones;espanol;HQ;MPEG-4;Todo Publico;Anime Underground;Harold Sakuishi ;10;beck.jpg;
;Air TV;serie;13;1/2 DVD;japones;espanol;HQ;MPEG-4;Shojo;Athena no Seinto;;7;airtv.jpg;
;Now and Then, Here and There;serie;13;1/2 DVD;japones;espanol;HQ;MPEG-4;Todo Publico;F&G;;7;nowandthen.jpg;
;Oruchuban Ebichu;serie;24;1 DVD;japones;espanol;HQ;MPEG-4;Hentai;EOL - Tatakae;Gainax;9;ebichu.jpg;
;Ah! Megamisama ;serie;24;1 DVD;japones;espanol;HQ;MPEG-4;Shojo;Kujaku Corp.- Frozen-Layer;;;megamisama.jpg;
;R.O.D. TV ;serie;26;1 DVD;japones;ingles;HQ;MPEG-4;Shonen;Anime Station;Hideyuki Kurata;10;rod_tv.jpg;
;Jinki:Extend;serie;13;1/2 DVD;japones;espanol;HQ;MPEG-4;Shonen;Rakuen - MA;;8;jinkiextend.jpg;
;Samurai Champloo;serie;26;1 DVD;japones;espanol;HQ;MPEG-4;Shonen;Meiji - FL;Shinchiro Watanabe;10;champloo.jpg;
;Samurai Deeper Kyo;serie;26;1 DVD;japones;espanol;HQ;MPEG-4;Shonen;Mangalords;;7;samuraideeper.jpg;
;Narue no Sekai;serie;12;1/2 DVD;japones;espanol;HQ;OGM;Shojo;Kamonohashi no Fansub;;;narue.jpg;
;If I see you in my dreams (Yume de aeterea);serie;16;1/2 DVD;japones;espanol;HQ;MPEG-4;Suspenso;Otaku no Power;;;yumedeaeterea.jpg;
;Smash Hit!;serie;8;1/2 DVD;japones;espanol;HQ;MPEG-4;Todo Publico;Anime Underground & Spanishare;;7;smashhit.jpg;
;Angelic Layer;serie;26;1 DVD;japones;espanol;HQ;MPEG-4;Shojo;Mundo Anime;CLAMP;8;angeliclayer.jpg;
;Gantz;serie;26;1 DVD;japones;espanol;HQ;MPEG-4;Shonen;Gokuraku;Hiroya Oku;10;gantz.jpg;
;Gungrave;serie;26;1 DVD;japones;espanol;HQ;MPEG-4;Shonen;Frozen Layer;;9;gungrave.jpg;
;2x2=Shinobuden;serie;12;1/2 DVD;japones;espanol;HQ;MPEG-4;Ecchi;Anime Underground;;7;shinobuden.jpg;
;King of bandits Jing;serie;13 + 3 ova;1 DVD;japones;espanol;HQ;MPEG-4;Shonen;Mangalords / Rakuen;;9;jing.jpg;
;Peace Maker Kurogane ;serie;24;1 DVD;japones;espanol;HQ;MPEG-4;Shonen;Athena no Seinto;;8;peacemaker.jpg;
;Getbackers;serie;49;2 DVD;japones;espanol;HQ;MPEG-4;Shonen;Gokuraku;;;getbackers.jpg;
;Tenjho Tenge;serie;26;1 DVD;japones;espanol;HQ;MPEG-4;Shonen;;Oh! great;10;tenjoutenge.jpg;
;Samurai girl: Real bout high school;serie;13;1/2 DVD;japones;ingles;HQ;MPEG-4;Shonen?;;;6;samuraigirl.jpg;
;Sexy commando gaiden: Sugoiyo! Masaru-san;serie;30;1/2 DVD;japones;ingles;HQ;MPEG-4;Comedia;;;6;sexycomando.jpg;si
